Course,University,Location,Subject,Link
International Product and Service Management (IPM),Ansbach University of Applied Sciences,Ansbach,Business and Economics,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4616/
Mechanical Engineering/Mechatronics (MSc),Kaiserslautern University of Applied Sciences,Kaiserslautern,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4202/
Mechatronics and Robotics (MEng),Schmalkalden University of Applied Sciences,Schmalkalden,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6347/
MSc Pharmaceutical Biotechnology,Hamburg University of Applied Sciences,Hamburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4027/
MSc Renewable Energy Systems,Hamburg University of Applied Sciences,Hamburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4059/
Process Engineering and Energy Technology,Bremerhaven University of Applied Sciences,Bremerhaven,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4068/
Refinement of Polymer and Composite Products,Kaiserslautern University of Applied Sciences,Pirmasens,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4398/
Renewable Energy and E-Mobility (REEM),Stralsund University of Applied Sciences,Stralsund,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6455/
Renewable Energy Systems,Nordhausen University of Applied Sciences,Nordhausen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9011/
Simulation and System Design (SSD),Stralsund University of Applied Sciences,Stralsund,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6445/
Smart Energy Systems,Ansbach University of Applied Sciences,Feuchtwangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7252/
Sustainable Building Systems,Ansbach University of Applied Sciences,Feuchtwangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9021/
Sustainable Textiles (MEng),Hof University of Applied Sciences,Hof,Chemistry,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6237/
Sustainable Water Management and Engineering,Hof University of Applied Sciences,Hof,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7220/
MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology,Cham,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
Road Traffic Engineering,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4793/
"Integrated Water Resources Management (MSc Joint Exchange Programme, Focus on Middle East and Northern Africa)",Technische Hochschule Köln (University of Applied Sciences),Köln,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3924/
MSc Applied Geosciences – Energy & Mineral Resources (EMR),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography),www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4570/
Hydrogen Technology,Rosenheim Technical University of Applied Sciences,Burghausen,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8282/
International Max Planck Research School Physics of Light (IMPRS-PL),Max Planck Institute for the Science of Light,Erlangen,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4751/
Master in Integrated Design (MID),OWL University of Applied Sciences and Arts,Detmold,Architecture,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5347/
Master's in Construction and Real Estate Management (ConREM),HTW Berlin University of Applied Sciences,Berlin,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3814/
"Mechanical Engineering, MSc",Rhine-Waal University of Applied Sciences,Kleve,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4492/
Neural Engineering (MSc),htw saar - University of Applied Sciences,Saarbrücken,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6567/
Water Engineering,Magdeburg-Stendal University of Applied Sciences,Magdeburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6349/
Advanced Green Engineering and Sustainable Management,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8903/
Master Environmental Engineering (MEng),Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,Dresden,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4761/
Chemical and Bioprocess Engineering,Hamburg University of Technology,Hamburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4108/
Biofabrication,University of Bayreuth,Bayreuth,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4597/
Air Transport and Logistics,Dresden University of Technology,Dresden,"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8911/
"MSc Remote Sensing, geoInformation, and Visualisation (RSIV)",University of Potsdam,Potsdam,Earth Sciences (excluding Geography),www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4855/
European Urban Studies (EUS),Bauhaus-Universität Weimar,Weimar,Town and Country Planning,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3679/
Environmental and Resource Management (MSc),Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,"Agriculture, Forestry and Nutritional Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3681/
Transformation Studies,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,"Law, Economics and Social Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9256/
Subsurface Engineering (SubSurf),Ruhr-Universität Bochum,Bochum,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8397/
Engineering Geohazards (MSc),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography),www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6919/
Biomedical Engineering,RWTH Aachen University,Aachen,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8549/
Functional Materials MSc,Philipps-Universität Marburg,Marburg,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4650/
Geomatics for Mineral Resource Management (MGMRM),TU Bergakademie Freiberg,Freiberg,Surveying,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6283/
"International Energy Engineering (MEng), full-time",Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Amberg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7704/
Master of Sustainable Mining and Remediation Management (MoRe),TU Bergakademie Freiberg,Freiberg,"Mining, Metallurgy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4446/
Micro and Nano Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4103/
MSc Mineral Resources Engineering – Specialisation: Repository Safety,RWTH Aachen University,Aachen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8462/
Nanoscience and Nanotechnology,University of Siegen,Siegen,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4872/
Organic and Molecular Electronics (OME),Dresden University of Technology,Dresden,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4388/
Urban Design Master's Programme,Technische Universität Berlin,Berlin,Design,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4532/
European Mining Course (EMC),RWTH Aachen University,Aachen,"Mining, Metallurgy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8481/
Railway Systems Engineering,RWTH Aachen University,Aachen,"Transport Engineering, Nautical Science",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4881/
